#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
1021,1023
1021,1023
1021,1023
1021,1023
1022,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1022,1023
1022,1023
1022,1023
1021,1023
1021,1023
1021,1023
1022,1023
1021,1023
1022,1023
1021,1023
1021,1023
1022,1023
1021,1023
1022,1023
1021,1023
1021,1023
1022,1023
1022,1023
1021,1023
1021,1023
1021,1023
1021,1023
1022,1023
1021,1023
1021,1023
1021,1023
1022,1023
1021,1023
1021,1023
1022,1023
1022,1023
1021,1023
1021,1023
1022,1023
1021,1023
1021,1023
1022,1023
1021,1023
1021,1023
1021,1023
1022,1023
1021,1023
1022,1023
1021,1023
1022,1023
1021,1023
1022,1023
1021,1023
1021,1023
1022,1023
1021,1023
1022,1023
1022,1023
1021,1023
1022,1023
1018,0
874,0
774,0
686,0
608,0
539,0
478,0
424,0
377,0
335,0
297,0
264,0
235,0
209,0
186,0
166,0
148,0
131,0
117,0
105,0
93,0
84,0
76,0
69,0
63,0
57,0
52,0
47,0
43,0
39,0
35,0
32,0
29,0
27,0
24,0
22,0
20,0
18,0
16,0
15,0
14,0
12,0
12,0
10,0
9,0
9,0
8,0
7,0
6,0
6,0
6,0
6,0
5,0
4,0
4,0
3,0
4,0
3,0
3,0
3,0
3,0
3,0
2,0
2,0
2,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1023
140,1023
276,1023
390,1023
486,1023
567,1023
635,1023
693,1023
742,1023
783,1023
818,1023
848,1023
873,1023
895,1023
913,1023
929,1023
942,1023
953,1023
962,1023
971,1023
978,1023
984,1023
989,1023
993,1023
997,1023
1000,1023
1003,1023
1006,1023
1007,1023
1010,1023
1011,1023
1012,1023
1014,1023
1015,1023
1016,1023
1016,1023
1017,1023
1018,1023
1018,1023
1018,1023
1019,1023
1019,1023
1019,1023
1019,1023
1019,1023
1019,1023
1020,1023
1019,1023
1020,1023
1020,1023
1021,1023
1020,1023
1020,1023
1021,1023
1021,1023
1020,1023
1021,1023
1021,1023
1021,1023
1022,1023
1020,1023
1020,1023
1020,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1022,1023
1022,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1022,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1022,1023
1021,1023
1021,1023
1021,1023
1021,1023
1022,1023
1022,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1022,1023
1021,1023
1022,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1022,1023
1022,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1022,1023
1021,1023
1022,1023
1021,1023
1021,1023
1021,1023
1022,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1022,1023
1021,1023
1021,1023
1021,1023
1022,1023
1022,1023
1022,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1022,1023
1022,1023
1021,1023
1021,1023
1022,1023
1021,1023
1022,1023
1022,1023
1022,1023
1021,1023
1021,1023
1022,1023
1022,1023
1021,1023
1021,1023
1021,1023
1022,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1021,1023
1022,1023
1018,0
875,0
774,0
686,0
