Time,Input,Output
0.03,2.508235294,1.914663
0.05,2.53254902,1.9257087
0.07,2.566862745,2.057673509
0.09,2.611372549,2.077223851
0.11,2.66254902,2.121212121
0.12,2.722745098,2.253176931
0.14,2.800392157,2.326490714
0.16,2.879215686,2.316715543
0.18,2.971764706,2.346041056
0.19,3.067647059,2.482893451
0.21,3.177843137,2.556207234
0.23,3.295882353,2.556207234
0.25,3.414509804,2.585532747
0.26,3.546078431,2.732160313
0.28,3.683333333,2.795698925
0.3,3.816666667,2.859237537
0.32,3.96,2.815249267
0.34,4.104313725,2.956989247
0.35,4.246666667,3.010752688
0.37,4.377647059,3.059628543
0.39,4.509803922,3.084066471
0.41,4.632352941,3.128054741
0.42,4.73627451,3.157380254
0.44,4.830392157,3.181818182
0.46,4.901176471,3.196480938
0.48,4.955686275,3.206256109
0.49,4.978627451,3.216031281
0.51,4.974313725,3.216031281
0.53,4.936666667,3.216031281
0.55,4.862352941,3.206256109
0.57,4.748431373,3.191593353
0.58,4.603333333,3.098729228
0.6,4.396862745,3.142717498
0.62,4.172745098,3.113391984
0.64,3.912745098,3.069403715
0.65,3.600980392,2.991202346
0.67,3.256078431,2.93255132
0.69,2.883921569,2.859237537
0.71,2.514705882,2.65884653
0.72,2.135686275,2.609970674
0.74,1.712156863,2.487781036
0.76,1.365686275,2.233626588
0.78,1.018627451,2.052785924
0.79,0.721764706,1.950146628
0.81,0.449411765,1.676441838
0.83,0.232745098,1.471163245
0.84,0.089215686,1.275659824
0.86,0.011960784,1.114369501
0.87,0.007254902,0.957966764
0.89,0.072745098,0.830889541
0.9,0.218823529,0.738025415
0.92,0.443137255,0.698924731
0.94,0.76254902,0.669599218
0.95,1.15745098,0.703812317
0.97,1.586666667,0.791788856
0.99,2.088039216,1.001955034
1.01,2.647058824,1.226783969
1.02,3.177254902,1.412512219
1.04,3.711764706,1.676441838
1.06,4.163333333,2.057673509
1.08,4.573921569,2.355816227
1.09,4.831372549,2.624633431
1.11,4.964705882,2.829912023
1.13,4.955686275,2.976539589
1.15,4.785882353,3.059628543
1.16,4.458823529,3.093841642
1.18,4.019411765,2.991202346
1.2,3.406666667,3.015640274
1.22,2.785294118,2.913000978
1.23,2.135294118,2.678396872
1.25,1.465098039,2.546432063
1.27,0.898431373,2.350928641
1.29,0.441176471,1.994134897
1.3,0.146078431,1.720430108
1.32,0.011764706,1.554252199
1.33,0.042941176,1.260997067
1.35,0.235882353,1.089931574
1.37,0.604117647,0.977517107
1.38,1.155098039,0.928641251
1.4,1.828627451,1.016617791
1.42,2.569215686,1.158357771
1.43,3.311764706,1.407624633
1.45,3.985490196,1.779081134
1.47,4.575490196,2.150537634
1.49,4.894901961,2.492668622
1.5,4.973333333,2.766373412
1.52,4.785098039,2.942326491
1.54,4.288235294,3.03030303
1.56,3.630784314,3.025415445
1.57,2.841176471,2.854349951
1.59,1.955098039,2.771260997
1.61,1.170588235,2.575757576
1.63,0.533137255,2.19941349
1.64,0.140980392,1.891495601
1.66,0.000980392,1.617790811
1.67,0.133137255,1.368523949
1.69,0.500980392,1.19257087
1.71,1.116862745,1.099706745
1.72,1.951372549,1.207233627
1.74,2.866470588,1.37829912
1.76,3.785490196,1.588465298
1.77,4.477647059,1.940371457
1.79,4.892941176,2.394916911
1.81,4.946862745,2.707722385
1.83,4.609803922,2.913000978
1.85,3.902352941,2.927663734
1.86,3.001764706,2.956989247
1.88,1.898627451,2.829912023
1.9,1.043921569,2.492668622
1.91,0.391176471,2.184750733
1.93,0.022156863,1.871945259
1.95,0.066862745,1.573802542
1.96,0.435490196,1.348973607
1.98,1.189019608,1.217008798
1.99,2.116862745,1.324535679
2.01,3.291960784,1.432062561
2.03,4.205294118,1.754643206
2.05,4.806862745,2.130987292
2.07,4.963921569,2.590420332
2.08,4.601960784,2.849462366
2.1,3.768235294,2.961876833
2.12,2.709803922,2.908113392
2.14,1.475882353,2.761485826
2.15,0.618039216,2.390029326
2.17,0.100588235,2.043010753
2.19,0.028823529,1.725317693
2.2,0.425490196,1.461388074
2.22,1.223921569,1.309872923
2.23,2.345686275,1.309872923
2.25,3.508235294,1.588465298
2.27,4.531372549,1.945259042
2.29,4.961568627,2.370478983
2.3,4.814509804,2.717497556
2.32,4.056666667,2.908113392
2.34,2.870196078,2.93255132
2.36,1.570980392,2.712609971
2.37,0.613137255,2.409579668
2.39,0.070196078,2.077223851
2.41,0.093137255,1.730205279
2.42,0.63372549,1.480938416
2.44,1.701960784,1.353861193
2.46,2.911176471,1.520039101
2.47,4.145882353,1.798631476
2.49,4.881960784,2.209188661
2.51,4.901764706,2.600195503
2.53,4.187058824,2.854349951
2.54,2.926470588,2.917888563
2.56,1.591764706,2.707722385
2.58,0.511960784,2.409579668
2.59,0.021960784,2.062561095
2.61,0.219411765,1.720430108
2.63,1.041176471,1.476050831
2.64,2.263333333,1.417399804
2.66,3.702745098,1.671554252
2.68,4.723333333,2.047898338
2.7,4.95254902,2.478005865
2.71,4.349607843,2.781036168
2.73,3.051176471,2.898338221
2.75,1.537254902,2.80058651
2.77,0.468235294,2.414467253
2.78,0.001176471,2.11143695
2.8,0.342156863,1.700879765
2.82,1.349019608,1.480938416
2.83,2.805882353,1.476050831
2.85,4.158431373,1.803519062
2.87,4.950784314,2.228739003
2.89,4.721372549,2.639296188
2.9,3.667843137,2.864125122
2.92,2.078431373,2.84457478
2.94,0.655098039,2.634408602
2.96,0.015882353,2.15542522
2.97,0.243137255,1.783968719
2.99,1.238823529,1.544477028
3,2.865098039,1.520039101
3.02,4.267058824,1.783968719
3.04,4.970196078,2.204301075
3.06,4.6,2.678396872
3.08,3.175098039,2.873900293
3.09,1.566470588,2.727272727
3.11,0.390392157,2.404692082
3.13,0.011960784,2.033235582
3.14,0.631764706,1.691104594
3.16,1.972745098,1.524926686
3.18,3.698627451,1.622678397
3.19,4.799019608,2.077223851
3.21,4.802352941,2.521994135
3.23,3.689607843,2.805474096
3.25,1.92372549,2.732160313
3.26,0.501960784,2.595307918
3.28,0.000196078,2.106549365
3.3,0.54254902,1.749755621
3.31,1.912745098,1.549364614
3.33,3.629215686,1.720430108
3.35,4.837058824,2.082111437
3.36,4.806666667,2.531769306
3.38,3.533529412,2.810361681
3.4,1.672941176,2.810361681
3.42,0.315098039,2.463343109
3.43,0.040392157,2.033235582
3.45,0.806862745,1.710654936
3.47,2.588039216,1.578690127
3.48,4.24372549,1.798631476
3.5,4.978039216,2.292277615
3.52,4.31254902,2.688172043
3.54,2.548823529,2.84457478
3.55,0.74254902,2.61485826
3.57,0.00745098,2.204301075
3.58,0.431568627,1.818181818
3.6,2.091960784,1.598240469
3.62,3.918039216,1.710654936
3.64,4.956078431,2.106549365
3.65,4.488431373,2.624633431
3.67,2.631568627,2.834799609
3.69,0.830392157,2.61485826
3.71,0.011960784,2.223851417
3.72,0.50627451,1.832844575
3.74,2.180588235,1.647116325
3.76,4.048039216,1.769305963
3.77,4.978039216,2.174975562
3.79,4.287254902,2.673509286
3.81,2.238039216,2.839687195
3.83,0.513333333,2.546432063
3.84,0.034117647,2.126099707
3.86,0.925882353,1.779081134
3.88,2.855490196,1.647116325
3.89,4.619803922,1.886608016
3.91,4.877254902,2.350928641
3.93,3.335098039,2.771260997
3.95,1.30627451,2.766373412
3.96,0.097058824,2.350928641
3.98,0.326862745,2.013685239
4,1.993333333,1.666666667
4.01,4.103921569,1.754643206
4.03,4.980392157,2.258064516
4.05,4.121176471,2.678396872
4.07,1.863333333,2.820136852
4.08,0.301372549,2.492668622
4.1,0.175098039,2.052785924
4.12,1.476470588,1.744868035
4.13,3.599215686,1.803519062
4.15,4.943333333,2.145650049
4.17,4.369607843,2.600195503
4.19,2.267254902,2.80058651
4.2,0.344901961,2.624633431
4.22,0.121764706,2.096774194
4.24,1.504509804,1.764418377
4.25,3.565490196,1.818181818
4.27,4.966078431,2.15542522
4.29,4.213137255,2.619745846
4.3,2.109607843,2.717497556
4.32,0.238823529,2.57086999
4.34,0.285490196,2.052785924
4.36,2.096862745,1.735092864
4.37,4.230392157,1.818181818
4.39,4.95627451,2.321603128
4.41,3.416862745,2.727272727
4.43,1.16254902,2.678396872
4.44,0.004705882,2.306940371
4.46,0.715686275,1.896383187
4.48,2.890196078,1.735092864
4.49,4.788431373,1.964809384
4.51,4.591764706,2.448680352
4.53,2.304117647,2.80058651
4.55,0.337647059,2.551319648
4.56,0.185882353,2.091886608
4.58,1.842352941,1.83773216
4.6,4.125686275,1.88172043
4.61,4.936862745,2.2971652
4.63,3.451176471,2.707722385
4.65,1.095098039,2.722385142
4.67,0.007254902,2.321603128
4.68,1.057058824,1.896383187
4.7,3.433921569,1.759530792
4.71,4.941568627,2.150537634
4.73,4.055098039,2.624633431
4.75,1.537254902,2.785923754
4.77,0.060588235,2.399804497
4.78,0.649215686,1.974584555
4.8,2.963529412,1.749755621
4.82,4.827058824,2.082111437
4.83,4.330588235,2.546432063
4.85,1.989019608,2.766373412
4.87,0.053529412,2.565982405
4.89,0.604313725,2.023460411
4.9,2.799411765,1.769305963
4.92,4.841568627,2.057673509
4.94,4.261960784,2.546432063
4.96,1.690392157,2.766373412
4.97,0.074901961,2.404692082
4.99,0.573333333,1.994134897
5,0.573333333,1.994134897
