Time,Input,Output
0.02,2.494117647,1.588465298
0.03,2.507254902,1.88172043
0.05,2.53254902,2.057673509
0.07,2.564705882,2.047898338
0.09,2.608627451,2.145650049
0.1,2.659215686,2.375366569
0.12,2.72254902,2.448680352
0.14,2.796078431,2.375366569
0.16,2.874313725,2.443792766
0.17,2.966078431,2.65884653
0.19,3.067647059,2.732160313
0.21,3.171176471,2.673509286
0.23,3.289411765,2.751710655
0.24,3.407254902,2.981427175
0.26,3.546470588,3.079178886
0.28,3.675686275,3.176930596
0.3,3.81627451,3.142717498
0.32,3.960196078,3.39198436
0.33,4.096078431,3.509286413
0.35,4.238235294,3.626588465
0.37,4.370196078,3.748778104
0.39,4.509411765,3.870967742
0.41,4.626078431,3.99315738
0.42,4.730392157,4.105571848
0.44,4.825294118,4.2228739
0.46,4.901176471,4.335288368
0.48,4.953333333,4.428152493
0.49,4.978039216,4.516129032
0.51,4.974313725,4.58455523
0.53,4.937058824,4.643206256
0.55,4.867254902,4.677419355
0.56,4.756078431,4.696969697
0.58,4.603137255,4.687194526
0.6,4.409215686,4.652981427
0.62,4.187843137,4.58455523
0.63,3.928431373,4.486803519
0.65,3.601960784,4.369501466
0.67,3.277647059,4.213098729
0.69,2.905490196,3.870967742
0.7,2.537647059,3.787878788
0.72,2.113333333,3.538611926
0.74,1.735098039,3.113391984
0.76,1.387843137,2.820136852
0.77,1.039607843,2.663734115
0.79,0.721568627,2.223851417
0.81,0.464117647,1.920821114
0.82,0.244117647,1.627565982
0.84,0.096470588,1.358748778
0.86,0.011960784,1.129032258
0.87,0.005294118,0.923753666
0.89,0.065882353,0.762463343
0.9,0.206862745,0.650048876
0.92,0.441764706,0.571847507
0.94,0.762745098,0.557184751
0.95,1.132352941,0.606060606
0.97,1.558235294,0.855327468
0.99,2.085882353,1.031280547
1,2.616470588,1.138807429
1.02,3.17627451,1.441837732
1.04,3.681568627,1.940371457
1.06,4.163333333,2.321603128
1.07,4.554313725,2.712609971
1.09,4.818431373,3.098729228
1.11,4.964509804,3.445747801
1.13,4.956078431,3.748778104
1.15,4.799215686,3.983382209
1.16,4.481764706,3.998044966
1.18,4.018431373,4.193548387
1.2,3.44254902,4.149560117
1.22,2.825294118,3.8514174
1.23,2.172352941,3.739002933
1.25,1.467058824,3.411534702
1.27,0.930980392,2.883675464
1.29,0.463529412,2.468230694
1.3,0.159803922,2.194525904
1.32,0.011764706,1.686217009
1.33,0.035490196,1.363636364
1.35,0.218431373,1.114369501
1.36,0.60372549,1.085043988
1.38,1.153333333,0.87487781
1.4,1.784313725,0.933528837
1.42,2.526666667,1.10459433
1.43,3.269215686,1.544477028
1.45,4.018823529,1.930596285
1.47,4.550392157,2.38514174
1.48,4.882352941,2.854349951
1.5,4.976666667,3.279569892
1.52,4.785294118,3.631476051
1.54,4.323137255,3.870967742
1.56,3.672941176,3.822091887
1.57,2.890196078,3.89540567
1.59,1.959019608,3.690127077
1.61,1.212352941,3.201368524
1.63,0.565294118,2.766373412
1.64,0.158823529,2.306940371
1.66,0.000980392,1.876832845
1.67,0.11627451,1.51026393
1.69,0.469215686,1.23655914
1.7,1.114901961,1.080156403
1.72,1.947254902,1.080156403
1.74,2.814313725,1.246334311
1.76,3.737254902,1.578690127
1.77,4.441960784,2.174975562
1.79,4.906862745,2.673509286
1.81,4.955882353,3.152492669
1.83,4.641372549,3.538611926
1.84,3.95,3.773216031
1.86,3.005686275,3.817204301
1.88,1.955882353,3.509286413
1.9,1.093137255,3.167155425
1.91,0.392352941,2.727272727
1.93,0.031568627,2.228739003
1.94,0.052745098,1.788856305
1.96,0.432941176,1.441837732
1.98,1.132745098,1.226783969
1.99,2.117843137,1.197458456
2.01,3.229803922,1.388074291
2.03,4.155294118,1.769305963
