Time (0 base),Input,Output
0.00,0,0
0.02,2.49,2.38
0.04,2.5,2.32
0.06,2.51,2.4
0.08,2.53,2.27
0.10,2.54,2.26
0.11,2.56,2.39
0.14,2.59,2.27
0.16,2.62,2.4
0.17,2.65,2.4
0.21,2.68,2.29
0.22,2.71,2.43
0.23,2.75,2.33
0.26,2.79,2.34
0.29,2.84,2.48
0.30,2.89,2.38
0.31,2.94,2.52
0.35,2.99,2.54
0.36,3.04,2.44
0.39,3.1,2.59
0.41,3.16,2.49
0.43,3.23,2.64
0.45,3.29,2.67
0.48,3.36,2.58
0.50,3.43,2.74
0.52,3.5,2.77
0.53,3.57,2.68
0.56,3.65,2.85
0.58,3.72,2.89
0.60,3.8,2.93
0.62,3.88,2.97
0.64,3.96,2.89
0.66,4.04,3.06
0.67,4.11,3.11
0.71,4.19,3.04
0.73,4.27,3.22
0.75,4.34,3.27
0.77,4.42,3.32
0.78,4.49,3.38
0.80,4.56,3.44
0.82,4.62,3.49
0.85,4.69,3.55
0.86,4.74,3.61
0.88,4.8,3.67
0.90,4.84,3.72
0.93,4.89,3.79
0.96,4.92,3.85
0.98,4.95,3.91
1.00,4.97,3.96
1.02,4.98,4.01
1.04,4.98,4.07
1.06,4.97,4.12
1.07,4.96,4.16
1.10,4.93,4.21
1.12,4.89,4.26
1.13,4.84,4.3
1.16,4.77,4.33
1.18,4.7,4.35
1.20,4.61,4.38
1.22,4.51,4.4
1.25,4.4,4.39
1.26,4.28,4.42
1.28,4.14,4.43
1.30,4,4.43
1.33,3.84,4.41
1.35,3.67,4.38
1.37,3.49,4.37
1.39,3.3,4.34
1.41,3.1,4.3
1.43,2.89,4.25
1.46,2.68,4.07
1.48,2.47,4.13
1.50,2.25,3.93
1.52,2.03,3.97
1.53,1.81,3.76
1.55,1.6,3.67
1.58,1.39,3.69
1.60,1.18,3.46
1.61,0.99,3.34
1.64,0.81,3.35
1.65,0.64,3.1
1.68,0.48,2.97
1.70,0.35,2.84
1.72,0.23,2.71
1.73,0.13,2.58
1.76,0.06,2.44
1.78,0.02,2.31
1.81,0,2.18
1.83,0.01,2.06
1.85,0.05,1.94
1.87,0.12,1.83
1.88,0.21,1.72
1.91,0.34,1.62
1.93,0.5,1.53
1.95,0.68,1.46
1.98,0.89,1.4
2.00,1.12,1.35
2.01,1.37,1.43
2.04,1.64,1.29
2.05,1.93,1.28
2.07,2.23,1.41
2.10,2.53,1.3
2.12,2.84,1.34
2.13,3.14,1.52
2.17,3.44,1.58
2.19,3.72,1.66
2.21,3.99,1.75
2.22,4.24,1.85
2.25,4.45,1.96
2.27,4.64,2.08
2.29,4.79,2.09
2.30,4.89,2.34
2.33,4.96,2.47
2.35,4.98,2.61
2.37,4.95,2.74
2.38,4.88,2.86
2.42,4.76,2.98
2.43,4.59,3.09
2.45,4.38,3.2
2.48,4.13,3.28
2.49,3.84,3.23
2.51,3.52,3.41
2.54,3.17,3.45
2.57,2.81,3.47
2.58,2.44,3.47
2.61,2.06,3.32
2.62,1.69,3.41
2.63,1.34,3.23
2.67,1.02,3.15
2.68,0.72,3.06
2.70,0.47,2.96
2.71,0.27,2.84
2.75,0.12,2.72
2.77,0.03,2.59
2.78,0,2.45
2.81,0.04,2.31
2.83,0.15,2.18
2.85,0.32,2.06
2.87,0.55,1.95
2.88,0.84,1.84
2.92,1.17,1.76
2.93,1.55,1.82
2.95,1.96,1.65
2.98,2.39,1.62
2.98,2.82,1.74
3.02,3.24,1.64
3.04,3.65,1.81
3.05,4.02,1.87
3.08,4.34,1.96
3.11,4.61,2.05
3.12,4.81,2.17
3.13,4.94,2.29
3.17,4.98,2.42
3.18,4.94,2.56
3.20,4.81,2.69
3.22,4.61,2.82
3.25,4.32,2.93
3.27,3.97,3.04
3.28,3.57,3.12
3.30,3.12,3.18
3.34,2.65,3.22
3.35,2.16,3.11
3.38,1.69,3.23
3.38,1.24,3.06
3.42,0.84,3.01
3.44,0.51,2.92
3.45,0.25,2.83
3.47,0.08,2.7
3.50,0,2.58
3.52,0.03,2.45
3.53,0.16,2.31
3.55,0.4,2.18
3.58,0.72,2.07
3.60,1.12,1.96
3.62,1.58,2.01
3.65,2.09,1.82
3.67,2.62,1.78
3.68,3.14,1.91
